x,y
21.048191,105.801105
21.048191,105.801105
21.048191,105.801105
21.048191,105.801105
21.048191,105.801105
21.048191,105.801105
21.048191,105.801105
21.048191,105.801105
21.048191,105.801105
21.048191,105.801105
21.048191,105.801105
21.048191,105.801105
21.048191,105.801105
21.048191,105.801105
21.048191,105.801105
21.048191,105.801105
21.048191,105.801105
21.048191,105.801105
21.048191,105.801105
21.048191,105.801105
21.048191,105.801105
21.048191,105.801105
21.048191,105.801105
21.048191,105.801105
21.048191,105.801105
21.048191,105.801105
21.048191,105.801105
21.048191,105.801105
21.048191,105.801105
21.048191,105.801105
21.048191,105.801105
21.048191,105.801105
21.048191,105.801105
21.048191,105.801105
21.048191,105.801105
21.048191,105.801105
21.048191,105.801105
21.048191,105.801105
21.048191,105.801105
21.048191,105.801105
21.048191,105.801105
21.048191,105.801105
21.048191,105.801105
21.048191,105.801105
21.048191,105.801105
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801106
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.04819,105.801107
21.048189,105.801107
21.048189,105.801107
21.048189,105.801107
21.048189,105.801107
21.048189,105.801107
21.048189,105.801107
21.048189,105.801107
21.048189,105.801107
21.048189,105.801107
21.048189,105.801107
21.048189,105.801107
21.048189,105.801107
21.048189,105.801107
21.048189,105.801107
21.048189,105.801107
21.048189,105.801107
21.048189,105.801107
21.048189,105.801107
21.048189,105.801107
21.048189,105.801107
21.048189,105.801107
21.048189,105.801107
21.048189,105.801107
21.048189,105.801107
21.048189,105.801107
21.048189,105.801107
21.048189,105.801107
21.048189,105.801107
21.048189,105.801107
21.048189,105.801107
21.048189,105.801107
21.048189,105.801107
21.048189,105.801107
21.048189,105.801107
21.048189,105.801107
21.048189,105.801107
21.048189,105.801108
21.048189,105.801108
21.048189,105.801108
21.048189,105.801108
21.048189,105.801108
21.048189,105.801108
21.048189,105.801108
21.048189,105.801108
21.048189,105.801108
21.048189,105.801108
21.048189,105.801108
21.048189,105.801108
21.048189,105.801108
21.048189,105.801108
21.048189,105.801108
21.048189,105.801108
21.048189,105.801108
21.048189,105.801108
21.048189,105.801108
21.048189,105.801108
21.048189,105.801108
21.048189,105.801108
21.048189,105.801108
21.048189,105.801108
21.048189,105.801108
21.048189,105.801108
21.048189,105.801108
21.048189,105.801108
21.048189,105.801108
21.048189,105.801108
21.048189,105.801108
21.048189,105.801108
21.048189,105.801108
21.048189,105.801108
